Filename	Start_Time	Caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:16:12	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:16:18	No caption
Hans Rosling- The best stats you've ever seen - TED Talk.mp4	00:16:23	No caption
video1.mp4	00:06:18	No caption
video1.mp4	00:06:48	No caption
video1.mp4	00:07:05	No caption
video1.mp4	00:07:17	No caption
video1.mp4	00:07:23	No caption
video1.mp4	00:07:38	No caption
video1.mp4	00:08:02	No caption
17Min.mp4	00:00:00	No caption
17Min.mp4	00:00:05	No caption
17Min.mp4	00:00:06	No caption
17Min.mp4	00:00:07	No caption
17Min.mp4	00:00:08	No caption
17Min.mp4	00:00:10	No caption
17Min.mp4	00:00:12	No caption
17Min.mp4	00:00:14	No caption
17Min.mp4	00:00:14	No caption
17Min.mp4	00:00:17	No caption
17Min.mp4	00:00:23	No caption
17Min.mp4	00:00:25	No caption
17Min.mp4	00:00:26	No caption
17Min.mp4	00:00:34	No caption
17Min.mp4	00:00:36	No caption
17Min.mp4	00:00:38	No caption
17Min.mp4	00:00:40	No caption
17Min.mp4	00:00:41	No caption
17Min.mp4	00:00:43	No caption
17Min.mp4	00:00:44	No caption
17Min.mp4	00:00:47	No caption
video1.mp4	00:08:03	No caption
video1.mp4	00:08:34	No caption
17Min.mp4	00:00:50	No caption
17Min.mp4	00:00:53	No caption
17Min.mp4	00:00:55	No caption
17Min.mp4	00:00:57	No caption
17Min.mp4	00:01:01	No caption
17Min.mp4	00:01:02	No caption
17Min.mp4	00:01:09	No caption
17Min.mp4	00:01:18	No caption
17Min.mp4	00:01:26	No caption
17Min.mp4	00:01:29	No caption
17Min.mp4	00:01:33	No caption
17Min.mp4	00:01:38	No caption
17Min.mp4	00:01:42	No caption
17Min.mp4	00:01:43	No caption
17Min.mp4	00:01:45	No caption
17Min.mp4	00:01:50	No caption
17Min.mp4	00:01:55	No caption
17Min.mp4	00:02:03	No caption
17Min.mp4	00:02:08	No caption
17Min.mp4	00:02:10	No caption
17Min.mp4	00:02:12	No caption
17Min.mp4	00:02:19	No caption
17Min.mp4	00:02:25	No caption
17Min.mp4	00:02:30	No caption
17Min.mp4	00:02:32	No caption
17Min.mp4	00:02:37	No caption
17Min.mp4	00:02:44	No caption
17Min.mp4	00:02:53	No caption
17Min.mp4	00:03:00	No caption
17Min.mp4	00:03:09	No caption
17Min.mp4	00:03:17	No caption
17Min.mp4	00:03:20	No caption
17Min.mp4	00:03:23	No caption
17Min.mp4	00:03:28	No caption
17Min.mp4	00:03:30	No caption
17Min.mp4	00:03:34	No caption
17Min.mp4	00:03:47	No caption
17Min.mp4	00:03:52	No caption
17Min.mp4	00:03:56	No caption
17Min.mp4	00:04:00	No caption
17Min.mp4	00:04:06	No caption
17Min.mp4	00:04:10	No caption
17Min.mp4	00:04:15	No caption
17Min.mp4	00:04:18	No caption
17Min.mp4	00:04:23	No caption
17Min.mp4	00:04:33	No caption
17Min.mp4	00:04:38	No caption
17Min.mp4	00:04:42	No caption
17Min.mp4	00:04:47	No caption
17Min.mp4	00:04:59	No caption
17Min.mp4	00:05:07	No caption
17Min.mp4	00:05:21	No caption
17Min.mp4	00:05:24	No caption
17Min.mp4	00:05:29	No caption
17Min.mp4	00:05:31	No caption
17Min.mp4	00:05:44	No caption
17Min.mp4	00:05:47	No caption
17Min.mp4	00:05:51	No caption
17Min.mp4	00:05:52	No caption
17Min.mp4	00:05:56	No caption
17Min.mp4	00:05:57	No caption
17Min.mp4	00:06:00	No caption
17Min.mp4	00:06:04	No caption
17Min.mp4	00:06:09	No caption
17Min.mp4	00:06:14	No caption
17Min.mp4	00:06:18	No caption
17Min.mp4	00:06:22	No caption
17Min.mp4	00:06:32	No caption
17Min.mp4	00:06:37	No caption
17Min.mp4	00:06:40	No caption
17Min.mp4	00:07:15	No caption
17Min.mp4	00:07:17	No caption
17Min.mp4	00:07:22	No caption
17Min.mp4	00:07:30	No caption
17Min.mp4	00:07:34	No caption
17Min.mp4	00:07:38	No caption
17Min.mp4	00:07:39	No caption
17Min.mp4	00:07:41	No caption
17Min.mp4	00:07:46	No caption
17Min.mp4	00:07:49	No caption
17Min.mp4	00:07:52	No caption
17Min.mp4	00:07:55	No caption
17Min.mp4	00:08:03	No caption
17Min.mp4	00:08:06	No caption
17Min.mp4	00:08:12	No caption
17Min.mp4	00:08:17	No caption
17Min.mp4	00:08:19	No caption
17Min.mp4	00:08:27	No caption
17Min.mp4	00:08:31	No caption
17Min.mp4	00:08:35	No caption
17Min.mp4	00:08:39	No caption
17Min.mp4	00:08:40	No caption
17Min.mp4	00:08:42	No caption
17Min.mp4	00:08:45	No caption
17Min.mp4	00:08:55	No caption
17Min.mp4	00:09:04	No caption
17Min.mp4	00:09:07	No caption
17Min.mp4	00:09:21	No caption
17Min.mp4	00:09:26	No caption
17Min.mp4	00:09:28	No caption
17Min.mp4	00:09:31	No caption
17Min.mp4	00:09:34	No caption
17Min.mp4	00:09:36	No caption
17Min.mp4	00:09:38	No caption
17Min.mp4	00:09:41	No caption
17Min.mp4	00:09:45	No caption
17Min.mp4	00:09:48	No caption
17Min.mp4	00:09:51	No caption
17Min.mp4	00:09:57	No caption
17Min.mp4	00:09:59	No caption
17Min.mp4	00:10:07	No caption
17Min.mp4	00:10:12	No caption
17Min.mp4	00:10:14	No caption
17Min.mp4	00:10:19	No caption
17Min.mp4	00:10:21	No caption
17Min.mp4	00:10:27	No caption
17Min.mp4	00:10:29	No caption
17Min.mp4	00:10:31	No caption
17Min.mp4	00:10:32	No caption
17Min.mp4	00:10:42	No caption
17Min.mp4	00:10:45	No caption
17Min.mp4	00:10:48	No caption
17Min.mp4	00:10:53	No caption
17Min.mp4	00:10:57	No caption
17Min.mp4	00:10:58	No caption
17Min.mp4	00:10:59	No caption
17Min.mp4	00:11:00	No caption
17Min.mp4	00:11:04	No caption
17Min.mp4	00:11:10	No caption
17Min.mp4	00:11:13	No caption
17Min.mp4	00:11:16	No caption
17Min.mp4	00:11:20	No caption
17Min.mp4	00:11:23	No caption
17Min.mp4	00:11:28	No caption
17Min.mp4	00:11:32	No caption
17Min.mp4	00:11:34	No caption
17Min.mp4	00:11:37	No caption
17Min.mp4	00:11:40	No caption
17Min.mp4	00:11:44	No caption
17Min.mp4	00:11:48	No caption
17Min.mp4	00:11:50	No caption
17Min.mp4	00:11:54	No caption
17Min.mp4	00:12:06	No caption
17Min.mp4	00:12:13	No caption
17Min.mp4	00:12:18	No caption
17Min.mp4	00:12:22	No caption
17Min.mp4	00:12:29	No caption
17Min.mp4	00:12:35	No caption
17Min.mp4	00:12:40	No caption
17Min.mp4	00:12:47	No caption
17Min.mp4	00:12:52	No caption
17Min.mp4	00:12:59	No caption
17Min.mp4	00:13:01	No caption
17Min.mp4	00:13:06	No caption
17Min.mp4	00:13:09	No caption
17Min.mp4	00:13:10	No caption
17Min.mp4	00:13:14	No caption
17Min.mp4	00:13:18	No caption
17Min.mp4	00:13:21	No caption
17Min.mp4	00:13:27	No caption
17Min.mp4	00:13:30	No caption
17Min.mp4	00:13:31	No caption
17Min.mp4	00:13:31	No caption
17Min.mp4	00:13:36	No caption
17Min.mp4	00:13:39	No caption
17Min.mp4	00:13:41	No caption
17Min.mp4	00:13:46	No caption
17Min.mp4	00:13:48	No caption
17Min.mp4	00:13:51	No caption
17Min.mp4	00:13:54	No caption
17Min.mp4	00:13:56	No caption
17Min.mp4	00:14:00	No caption
17Min.mp4	00:14:01	No caption
17Min.mp4	00:14:07	No caption
17Min.mp4	00:14:09	No caption
17Min.mp4	00:14:11	No caption
17Min.mp4	00:14:15	No caption
17Min.mp4	00:14:21	No caption
17Min.mp4	00:14:24	No caption
17Min.mp4	00:14:27	No caption
17Min.mp4	00:14:30	No caption
17Min.mp4	00:14:36	No caption
17Min.mp4	00:14:45	No caption
17Min.mp4	00:14:48	No caption
17Min.mp4	00:14:54	No caption
